name,role,bio,photo
Anastasha Rachel Gunawan,,"I am an artist, technologist, and inquirer; I coax the collective imagination through technologies for ritual and magic. My practice of inquiry involves the creation of these handmade technological artifacts, designing interventions (spaces, events, media) to invite more of them, and reading ancient & new texts about technological discovery/fear/hope. They remind me that we are moving in cycles, re-encountering ourselves time & again.",anastasha.webp
Diane Rhim,,"Loves: Craft as a form of care, translating memory into objects, the ocean

Interests & Hobbies: Women’s health, food and nutrition, learning about care traditions across cultures, scuba diving, sunbathing with my dog

Key Skills: Product & experience design and strategy, storytelling across different mediums, human-centered design research, CPG, systems thinking, and blending new technologies across physical and digital experiences.

“Nature is pleased with simplicity.”  - Isaac Newton""",diane.webp
Eric Singleton,,,eric.webp
Julia Hou,,"Julia is fascinated with how to turn invisible dynamics into visible experiences. She’s endlessly curious about food, people, relationships and nature, and loves making things that help us notice what might otherwise go unseen.",julia.webp
Kel Huang,,"Loves: Metaphors, science writing, figuring out what makes people tick, cold beverages

Interests & Hobbies: Dancing (Lindy Hop & House), Textiles, Print Media

Key Skills: Graphic design, workshop facilitation, & building bespoke tools

 ""The coin that is lost in the river is found in the river.""  -Zen Koan",kel.webp
Maggie Namaganda,,"Loves: Stories, loud laughter, good food, & thinking about how people learn
Interests & Hobbies: Discovering new places & their ways of living, dabbling random sports & art.
Key Skills: UI/UX design, Systems thinking, Organising teams
 ""What counts in life is not the mere fact that we have lived. It is what difference we have made to the lives of others that will determine the significance of the life we lead""  - Nelson Mandela",maggie.webp
Rishika Gundi,,"A design engineer passionate about improving health through technologies & the systems that govern them. An artist experimenting with new mediums, a collector of languages, a child who loves to play with her food. Will take you up on a game of basketball, tennis or volleyball anytime. 

Expertise: CAD, Electromechanical Design, Graphic Design, Medical Device Design + Manufacture + Regulatory, Healthcare (FDA & CMS) Policy",rishika.webp
Sanzhar Myrzagalym,,,sanzhar.webp
Shawn Smith,,"Shawn's work sits at the intersection of AI, behavior, and community — translating systems thinking into experiences that feel emotionally resonant, socially meaningful, and practically useful.

Before graduate school at Stanford, he led data teams and built data-driven products inside large organizations, bringing technical depth, product strategy, and organizational leadership to complex human problems. He is now focused on shaping emerging technologies, especially AI, in service of care, connection, and human flourishing.",shawn.webp
Yousef Al-Riyami,,"Loves: Novels, Poetry, Helping people turn into artists

Interests & Hobbies: Origami, Cafe-hopping, Museum Experiences, Theatre Production

Key Skills: Experiential design, storytelling, & coaching and asking hard questions

 ""And watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unusual places. Those who don't believe in magic will never find it."" - Roald Dahl",yousef.webp
